nEvent , x , y , z , px , py , pz , trackID 
1 , 0 , 0 , -300 , 2.82679e-11 , -9.38913e-11 , 150 , 0
1 , 1.57378e-10 , -5.22728e-10 , 535.106 , -0.0638932 , -0.0274344 , 145.097 , 1
1 , 1.57378e-10 , -5.22728e-10 , 535.106 , 0.0684193 , 0.012401 , 4.90286 , 2
2 , 0 , 0 , -300 , -1.66144e-10 , -1.18584e-10 , 150 , 0
2 , -9.2185e-10 , -6.57964e-10 , 532.275 , -0.0427095 , -0.0610346 , 144.341 , 1
2 , -9.2185e-10 , -6.57964e-10 , 532.275 , -0.071602 , -0.0205543 , 5.65894 , 2
2 , -559.418 , 1181.95 , 1596.14 , -0.000445792 , 0.000600707 , -0.00121776 , 1290
2 , -9313.4 , 9089.99 , -1737.39 , -0.000787277 , 0.00152013 , -0.00132208 , 1386
2 , -7.6942 , -2.76734 , 1140.82 , -1.37302e-05 , -5.23797e-06 , 0.00109131 , 1476
2 , -0.0373678 , -0.011656 , 535.301 , 0.00107735 , -0.000881281 , 0.0019429 , 1477
3 , 0 , 0 , -300 , 3.30434e-11 , 2.39995e-11 , 150 , 0
3 , 1.82392e-10 , 1.32472e-10 , 527.965 , -0.00467228 , -0.0457401 , 147.9 , 1
3 , 1.82392e-10 , 1.32472e-10 , 527.965 , -0.0449422 , 0.00970503 , 2.10003 , 2
3 , -6.25086 , 1.54796 , 843.701 , -0.00564846 , 0.00156662 , 0.298569 , 3
3 , -0.0987789 , 0.0224994 , 532.712 , 0.00133607 , -0.00127555 , 0.0036216 , 4
4 , 0 , 0 , -300 , -7.0318e-11 , -5.18456e-11 , 150 , 0
4 , -3.88457e-10 , -2.8641e-10 , 528.643 , -0.0357205 , 0.0115501 , 148.607 , 1
4 , -3.88457e-10 , -2.8641e-10 , 528.643 , 0.00047257 , -0.0375385 , 1.39291 , 2
4 , -0.00246331 , -0.138669 , 533.732 , -9.44064e-05 , -0.00424751 , 0.159857 , 4
5 , 0 , 0 , -300 , 5.05402e-12 , 1.87036e-12 , 150 , 0
5 , 2.81428e-11 , 1.04149e-11 , 535.259 , -0.00605725 , -0.0367035 , 148.633 , 1
5 , 2.81428e-11 , 1.04149e-11 , 535.259 , -0.0284916 , 0.0239179 , 1.36743 , 2
5 , -22.2374 , 17.9006 , 1575.91 , -0.00218171 , 0.00184097 , 0.108215 , 3
5 , -12.6423 , 10.5324 , 1141.04 , -0.00647091 , 0.00519091 , 0.303566 , 4
5 , -6.10965 , 5.1955 , 831.82 , -9.07844e-05 , 8.04983e-05 , 0.00451925 , 5
6 , 0 , 0 , -300 , 5.76019e-11 , 2.38865e-10 , 150 , 0
6 , 3.17773e-10 , 1.31775e-09 , 527.506 , -0.0130242 , -0.0685738 , 145.058 , 1
6 , 3.17773e-10 , 1.31775e-09 , 527.506 , -0.0196626 , -0.0669729 , 4.94181 , 2
6 , 4420.57 , -4327.73 , -1938.27 , 0.000979424 , -0.00114429 , -0.000494251 , 1007
6 , -0.000678006 , -0.00333462 , 534.53 , -4.01931e-05 , -0.00104365 , 0.00106581 , 1386
6 , -1.41366e-05 , -7.44312e-05 , 527.664 , 0.00103387 , 0.000452352 , 0.00124717 , 1387
7 , 0 , 0 , -300 , -3.55173e-11 , -3.23107e-11 , 150 , 0
7 , -1.96513e-10 , -1.78772e-10 , 529.934 , -0.0335751 , -0.0221227 , 148.4 , 1
7 , -1.96513e-10 , -1.78772e-10 , 529.934 , -0.0251915 , -0.0313383 , 1.60022 , 2
8 , 0 , 0 , -300 , -1.68339e-12 , 7.67158e-13 , 150 , 0
8 , -9.28877e-12 , 4.2331e-12 , 527.685 , -0.0473257 , 0.0312277 , 146.78 , 1
8 , -9.28877e-12 , 4.2331e-12 , 527.685 , -0.0546164 , 0.0152296 , 3.21986 , 2
8 , -0.00858035 , 0.00237141 , 528.187 , -0.000502523 , 0.00014841 , 0.0292121 , 834
9 , 0 , 0 , -300 , -1.29508e-10 , 9.42662e-11 , 150 , 0
9 , -7.15417e-10 , 5.20737e-10 , 528.616 , -0.0924529 , -0.0742753 , 134.526 , 1
9 , -7.15417e-10 , 5.20737e-10 , 528.616 , 0.0422641 , 0.110807 , 15.4743 , 2
9 , 3813.02 , -707.512 , 2346.79 , 0.00135758 , 0.000182454 , -0.000664735 , 3370
9 , 2753.14 , -2144.52 , 535.946 , 0.00100206 , -0.00108939 , -0.00120603 , 3744
10 , 0 , 0 , -300 , -1.70217e-10 , 1.89775e-10 , 150 , 0
10 , -9.41146e-10 , 1.04928e-09 , 529.362 , 0.00743138 , -0.0455205 , 147.886 , 1
10 , -9.41146e-10 , 1.04928e-09 , 529.362 , 0.0444475 , -0.0123192 , 2.1135 , 2
10 , 13.1662 , -2.8131 , 1145.82 , 0.000422378 , -6.99188e-05 , 0.0204472 , 4
10 , 11.1208 , -2.42867 , 1051.19 , 0.027543 , -0.00552497 , 1.32662 , 5
10 , -5.31493e-08 , -3.02984e-08 , -21.1708 , 0.0032376 , -8.00492e-05 , 0.0102636 , 21
11 , 0 , 0 , -300 , -1.51265e-10 , -1.39188e-10 , 150 , 0
11 , -8.3609e-10 , -7.69335e-10 , 529.097 , -0.0397247 , -0.0304759 , 147.502 , 1
11 , -8.3609e-10 , -7.69335e-10 , 529.097 , -0.0336685 , -0.0370575 , 2.49749 , 2
11 , 9788.62 , -15459.5 , -9107.93 , 0.00127877 , -0.00228675 , -0.000719876 , 157
11 , -21.8561 , -24.0955 , 1972.85 , 3.60441e-05 , 0.000995884 , 0.00102566 , 629
